시도교육청구분코드,시도교육청구분명,행정구역명,학원교습소구분명,학원지정번호,학원명,개설일자,등록일자,등록상태명,휴원시작일자,휴원종료일자,정원합계,일시수용능력인원합계,분야명,교습계열명,교습과정목록명,교습과정명,인당수강료내용,수강료공개여부,기숙사학원여부,시설도로명주소,시설도로명상세주소,시설도로명우편번호,전화번호,수정일자
C10,부산광역시교육청,강서구,교습소,3000017009,그리미뚝딱미술교습소,20180108,20180108,개원,        ,99991231,9,9,예능(대),예능(중),,미술,"미술고급:206000, 미술B(초급):150000",Y,N,부산광역시 강서구 과학산단2로20번길 91,", 111동 106호 (지사동, 지사 과학 삼정그린코아)",46743,,20231018
C10,부산광역시교육청,강서구,교습소,3000034435,그림달미술교습소,20240221,20240221,개원,        ,        ,0,0,예능(대),예능(중),미술(초급)A,미술,"미술(초급)A:100000, 미술(초급)B:140000, 미술(초급)C:170000, 미술(초급)D:100000, 미술(초급)E:140000, 미술(초급)F:170000",Y,N,부산광역시 강서구 명지국제6로 286,세성파크 102호(명지동),46773,,20240317
C10,부산광역시교육청,강서구,교습소,3000021853,그림미술교습소,20230329,20230329,개원,        ,99991231,27,8,예능(대),예능(중),,미술, ,Y,N,부산광역시 강서구 신호산단2로 69,", 102호 (신호동)",46759,,20231018
C10,부산광역시교육청,강서구,교습소,3000016899,그림있는숲엘크루점미술교습소,20171204,20171204,개원,        ,99991231,24,7,예능(대),예능(중),미술고급A,미술,"미술고급A:150000, 미술고급B:140000, 미술고급C:130000, 미술고급D:110000",Y,N,부산광역시 강서구 명지오션시티12로 92,", 근린생활시설(C3)동 B124호 (명지동, 엘크루 블루오션)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000021690,글로리아피아노교습소,20230213,20230213,개원,        ,99991231,8,5,예능(대),예능(중),,음악, ,Y,N,부산광역시 강서구 명지오션시티2로 71,", 상가동 206호 (명지동, 극동 스타클래스)",46765,,20231018
C10,부산광역시교육청,강서구,교습소,3000018295,기탄사고력공부방수학교습소,20190403,20190403,개원,        ,99991231,100,9,입시.검정 및 보습,보통교과,수학A,보습,"수학A:180000, 수학B:200000, 수학C:220000, 수학A:250000, 수학B:270000",Y,N,부산광역시 강서구 명지국제6로302번길 11-7,", 1층 일부 (명지동)",46726,null,20231112
C10,부산광역시교육청,강서구,교습소,3000034145,기탄사고력교실명일초수학교습소,20231010,20231010,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,수학A,보통교과,"수학A:170000, 수학B:190000, 수학C:180000, 창의사고력수학:33000, 수리논술:33000, 수학D:200000, 수학E:0",Y, ,부산광역시 강서구 명지국제13로가길 5,1층 2호(명지동),46773,,20240121
C10,부산광역시교육청,강서구,교습소,3000021873,김도진논술교습소,20230404,20230404,개원,        ,99991231,90,9,입시.검정 및 보습,보통교과,,보습·논술, ,Y,N,부산광역시 강서구 명지국제2로28번길 3,", 동건프라자 308호 (명지동)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000018136,깐띠아모(cantiamo)음악교습소,20180316,20180316,개원,        ,99991231,40,9,예능(대),예능(중),음악1(초),음악, ,Y,N,부산광역시 강서구 명지오션시티10로 16,", 상가동 222동 232-1호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000021139,깨담서당수학교습소,20220802,20220802,개원,        ,99991231,12,6,입시.검정 및 보습,보통교과,초등수학,보습,"초등수학:220000, 초등수학:278000",Y,N,부산광역시 강서구 명지국제2로 41,", 판매시설 215호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000020342,꿈자람플레이팩토교구교습소,20211001,20211001,개원,        ,99991231,40,4,기타(대),기타(중),팩토A,기타(소),"팩토A:110000, 팩토B:120000, 팩토C:180000, 팩토D:180000, 팩토E:180000, 팩토F:220000, 팩토G:270000, 팩토H:320000",Y,Y,부산광역시 강서구 명지국제7로 37,", 판매시설 1층 233호 (명지동, 더샵 명지퍼스트월드 2단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000021463,나비수학교습소,20221219,20221219,개원,        ,99991231,72,8,입시.검정 및 보습,보통교과,초등,보습,"초등:160000, 초등(심화):65000, 초등(특강):50000, 중등:205000, 중등(심화):80000, 중등(특강):60000, 고등:280000, 고등(심화):110000, 고등(특강):85000",Y,N,부산광역시 강서구 명지오션시티12로 120,", 상가C4동 B114호 (명지동, 엘크루 블루오션)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000034468,나의서재국어교습소,20240229,20240229,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지국제8로 270,모아진빌딩 305호(명지동),46772,,20240303
C10,부산광역시교육청,강서구,교습소,3000020616,놀작마이아트더샵키즈아뜰리에미술교습소,20220105,20220105,개원,        ,99991231,72,9,예능(대),예능(중),,미술, ,Y,N,부산광역시 강서구 명지국제7로 37,", 2단지 판매시설 213호 (명지동, 더샵 명지퍼스트월드 2단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000017136,놀작마이아트색깔나무미술교습소,20180223,20180223,개원,        ,99991231,36,9,예능(대),예능(중),고급미술,미술, ,Y,N,부산광역시 강서구 명지오션시티12로 92,", 근린생활시설(C3)동, B119호 (명지동, 엘크루 블루오션)",46764,051-201-4862,20231018
C10,부산광역시교육청,강서구,교습소,3000021124,뉴턴과학교구교습소,20220728,20220728,개원,        ,99991231,33,3,기타(대),기타(중),,기타(소),"이론A:100000, 이론A(초등):100000, 이론B(초등):150000, 이론A(중등):200000, 이론B(중등):250000, 이론A(고등):250000, 이론B(고등):300000, 실험A:10000, 실험A:20000, 실험A:30000, 실험A:40000, 실험A:50000",Y,N,부산광역시 강서구 명지국제7로 37,", 판매시설 211호 (명지동, 더샵 명지퍼스트월드 2단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000016488,늘수학교습소,20170612,20170612,개원,        ,99991231,36,4,입시.검정 및 보습,보통교과,수학(초등A),보습,"수학(초등A):150000, 수학(초등B):160000, 수학(초등C):180000, 수학(초등D):190000, 수학(초등E):200000, 수학(중등A):230000, 수학(중등B):240000, 수학(중등C):250000, 수학(중등D):260000",Y,N,부산광역시 강서구 명지오션시티10로 17,", 상가동116동 105호 일부 (명지동, 영어도시퀸덤1차)",46762,null,20231120
C10,부산광역시교육청,강서구,교습소,3000021081,다올수학교습소,20220623,20220623,개원,        ,99991231,27,9,입시.검정 및 보습,보통교과,초등수학A,보습,"초등수학A:170000, 초등수학B:120000, 초등수학C:85000, 중등수학A:260000, 중등수학B:218000, 중등수학C:102000, 중등수학D:205000, 고등수학A:275000, 고등수학B:380000",Y,N,부산광역시 강서구 명지오션시티12로 92,", C3 상가동 B117호  (명지동, 엘크루 블루오션)",46764,null,20240303
C10,부산광역시교육청,강서구,교습소,3000017436,더리틀파레트미술교습소,20180531,20180531,개원,        ,99991231,36,7,예능(대),예능(중),,미술, ,Y,N,부산광역시 강서구 명지국제6로220번길 13,", 1층일부 (명지동)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000020289,더바이올린교습소,20210902,20210902,개원,        ,99991231,29,5,예능(대),예능(중),,음악, ,Y,N,부산광역시 강서구 명지국제8로 270,", 402호 (명지동)",46772,,20231018
C10,부산광역시교육청,강서구,교습소,3000021817,더소리엘음악교습소,20230321,20230321,개원,        ,99991231,36,3,예능(대),예능(중),,음악, ,Y,N,부산광역시 강서구 명지국제5로 30,", 1층 120동 104호 (명지동, 명지 대방노블랜드 오션뷰1차)",46772,,20231018
C10,부산광역시교육청,강서구,교습소,3000034179,더채움수학교습소,20231024,20231024,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,수학A,보통교과,"수학A:160000, 수학B:180000, 수학A:246000, 수학B:300000, 수학C:320000, 수학A:354000, 수학B:354000, 수학C:354000",Y, ,부산광역시 강서구 명지오션시티11로 51,"상가322동 307호(명지동,영어도시 퀸덤1차)",46762,,20231106
C10,부산광역시교육청,강서구,교습소,3000019216,데이잉글리쉬(DAYENGLISH)영어교습소,20200323,20200323,개원,        ,99991231,63,9,국제화,외국어,영어(초등A),실용외국어(유아/초·중·고),"영어(초등A):165000, 영어(초등B):200000, 영어(초등C):220000, 영어(초등D):235000, 영어(초등E):265000, 영어(초등F):265000, 영어(초등G):300000",Y,N,부산광역시 강서구 명지국제5로 29,", 102호 (명지동, 명지 국제신도시 호반베르디움 1차)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000017347,도현샘수학교습소,20180423,20180423,개원,        ,99991231,48,4,입시.검정 및 보습,보통교과,수학(초등A),보습,"수학(초등A):110000, 수학(초등B):170000, 수학(초등C):150000, 수학(초등D):200000, 수학(초등E):150000, 수학(중등A):170000, 수학(중등B):250000, 수학(중등C):200000",Y,N,부산광역시 강서구 명지오션시티11로 51,", 324동 326-2호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000021080,독서테라피리드인독서논술교습소,20220707,20220707,개원,        ,99991231,56,8,입시.검정 및 보습,보통교과,,보습,"논술A:160000, 논술B:190000, 논술C:220000, 논술D:250000, 논술E:50000, 논술F:30000, 논술A:170000, 논술B:200000, 논술C:230000, 논술D:260000, 논술E:20000, 논술F:30000, 논술G:50000",Y,N,부산광역시 강서구 명지오션시티10로 17,", 상가동 123호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000019025,동그라미미술교습소,20200107,20200107,개원,        ,99991231,18,8,예능(대),예능(중),미술 초급,미술,"미술 초급:70000, 미술 중급:115000, 미술 고급:140000",Y,N,부산광역시 강서구 명지오션시티10로 114,", 116동 104호 (명지동, 명지오션시티삼정그린코아)",46763,,20231018
C10,부산광역시교육청,강서구,교습소,3000020834,라온수학교습소,20220323,20220323,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지오션시티2로 71,", 201호 (명지동, 극동 스타클래스)",46765,,20231018
C10,부산광역시교육청,강서구,교습소,3000021126,러닝매쓰수학교습소,20220728,20220728,개원,        ,99991231,14,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제2로 41,", 판매시설 214호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000021480,레아영어교습소,20221222,20221222,개원,        ,99991231,36,6,입시.검정 및 보습,보통교과,,보습,"초등A:150000, 초등B:180000, 중등A:210000, 중등B:250000, 고등A:300000, 고등B:300000, 초등B(특강):182000, 중등특강:246000, 고등특강:295000",Y,N,부산광역시 강서구 명지오션시티11로 84,", 상가A동 103호 (명지동, 명지롯데캐슬)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000032044,루틴수학교습소,20230720,20230721,개원,        ,        ,0,9,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지국제8로 270,모아진빌딩 505호(명지동),46772,,20231018
C10,부산광역시교육청,강서구,교습소,3000020104,리드인독서논술교습소,20210527,20210527,개원,        ,99991231,56,8,입시.검정 및 보습,보통교과,,보습·논술,"독서논술A:90000, 독서논술B:150000, 독서논술C:180000, 독서논술D:210000, 독서논술E:240000, 독서논술(방학특강):100000, 논술(중등):230000, 논술(중등):260000",Y,N,부산광역시 강서구 명지오션시티2로 71,", 상가동 2층 202호 (명지동, 극동 스타클래스)",46765,null,20231127
C10,부산광역시교육청,강서구,교습소,3000019981,리딩리더스영어교습소,20210323,20210323,개원,        ,99991231,50,4,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제2로 80,", 비주거시설동 2층 25호 (명지동, e편한세상 명지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000020672,리딩리더영어교습소,20220128,20220128,개원,        ,99991231,63,9,국제화,외국어,초등A,실용외국어(유아/초·중·고),"초등A:129600, 초등B:172800, 초등C:216000, 초등D:205200, 초등E:216000, 초등F:226800, 중등:237600",Y,N,부산광역시 강서구 명지오션시티11로 51,", 상가322동 302-1호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000020165,리딩아이독서논술교습소,20210701,20210630,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,독서논술(초등A),보습·논술,"독서논술(초등A):117000, 독서논술(초등B):165000, 독서논술(초등C):195000, 독서논술(초등D):225000, 독서논술(중등A):175000, 독서논술(중등B):215000",Y,N,부산광역시 강서구 명지국제7로 37,", 2단지 상가 211호 (명지동, 더샵 명지퍼스트월드 2단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000020969,리틀하비투스국어교습소,20220526,20220526,개원,        ,99991231,18,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제5로 90,", 상가동 105호 (명지동, 중흥S-클래스 에듀오션)",46773,,20231018
C10,부산광역시교육청,강서구,교습소,3000034384,린제이(LynnJ)수학교습소,20240122,20240119,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지국제2로 80,"비거주시설동 2층 17호(명지동,e편한세상 명지)",46726,,20240218
C10,부산광역시교육청,강서구,교습소,3000020731,링키영어명지e편한세상영어교습소,20220214,20220214,개원,        ,99991231,9,9,국제화,외국어,영어,실용외국어(유아/초·중·고),영어:150000,Y,N,부산광역시 강서구 명지국제2로 80,", 상가 48호 (명지동, e편한세상 명지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000020733,링키영어엘크루오션시티점영어교습소,20220218,20220218,개원,        ,99991231,14,7,국제화,외국어,영어A,실용외국어(유아/초·중·고),"영어A:150000, 영어B:190000",Y,N,부산광역시 강서구 명지오션시티1로 173,", 명지청산오션타워 203호 (명지동)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000016139,맥수학교습소,20170201,20170201,개원,        ,99991231,15,6,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지오션시티11로 51,", 322동 309호 일부 (명지동, 영어도시퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000020617,메이트영어교습소,20220105,20220105,개원,        ,99991231,48,8,입시.검정 및 보습,보통교과,영어(초등),보습,"영어(초등):180000, 영어(초등):220000, 영어(초등):240000, 영어(중등):280000, 영어(중등):330000, 영어(고등):400000",Y,N,부산광역시 강서구 명지국제8로 234,", 정능빌딩2차 706호 (명지동)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000034070,멘사생각의숲사고력교구교습소,20230822,20230822,개원,        ,        ,0,0,기타(대),기타(중),교구A,기타(중),"교구A:100000, 교구B:120000, 교구C:140000, 교구D:180000, 교구E:250000",Y, ,부산광역시 강서구 명지국제5로 90,"231동 205호(명지동,부산명지 중흥S-클래스 에듀오션)",46773,,20231018
C10,부산광역시교육청,강서구,교습소,3000017565,명문전문수학교습소,20180712,20180712,개원,        ,99991231,9,6,입시.검정 및 보습,보통교과,수학(초등),보습,"수학(초등):180000, 수학(중등):250000, 수학(고등):350000",Y,N,부산광역시 강서구 명지오션시티11로 51,", 322동 317호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000016724,명지국제영어교습소,20170922,20170922,개원,        ,99991231,48,6,입시.검정 및 보습,보통교과,영어A(초등),보습,"영어A(초등):150000, 영어B(초등):180000, 영어C(초등):200000, 영어A(중등):200000, 영어B(중등):220000, 영어C(중등):250000, 영어D(중등):300000, 영어A(고등):320000",Y,N,부산광역시 강서구 명지국제8로 235,", 7층 702호 (명지동)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000034469,명지센텀수학교습소,20240229,20240229,개원,        ,        ,0,0,입시.검정 및 보습,,,, ,Y, ,부산광역시 강서구 명지국제2로 27,대산골든스퀘어 502호(명지동),46726,,20240303
C10,부산광역시교육청,강서구,교습소,3000013155,명지엘에스(LS)논리정속독교습소,20140303,20140303,개원,        ,99991231,90,9,기타(대),기타(중),초등A,속독,"초등A:72000, 초등B:144000, 초등C:216000, 초등D:288000, 초등E:360000, 중등A:96000, 중등B:192000, 중등C:288000, 중등D:384000, 중등E:480000",Y,N,부산광역시 강서구 명지오션시티3로 19,", 401호 (명지동,태화빌딩)",618814,,20231018
C10,부산광역시교육청,강서구,교습소,3000018607,몽타악기스튜디오음악교습소,20190718,20190718,개원,        ,99991231,60,5,예능(대),예능(중),,음악, ,Y,N,부산광역시 강서구 명지오션시티12로 120,", 근린생활시설(C4) B108호 (명지동, 엘크루 블루오션)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000020278,무지개나무미술교습소,20210901,20210810,개원,        ,99991231,12,8,예능(대),예능(중),,미술, ,Y,N,부산광역시 강서구 명지국제2로 41,", 상가동 208호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000015025,뮤엠영어명지퀸덤영어교습소,20160107,20160107,개원,        ,99991231,60,9,입시.검정 및 보습,보통교과,초등초급반,보습, ,Y,N,부산광역시 강서구 명지오션시티11로 51,", 322동 308호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000020546,뮤엠중흥에듀오션영어교습소,20211220,20211220,개원,        ,99991231,21,7,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제5로 90,", 상가231동 107동 (명지동, 중흥S-클래스 에듀오션)",46773,,20231018
C10,부산광역시교육청,강서구,교습소,3000019415,미래엔수학명지퀸덤수학교습소,20200717,20200720,개원,        ,99991231,45,7,입시.검정 및 보습,보통교과,초등A,보습,"초등A:160000, 초등B:140000, 초등C:180000, 초등D:160000, 중등:240000",Y,N,부산광역시 강서구 명지오션시티10로 16,", 링컨타운 233호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000021238,미래엔수학명지포스코수학교습소,20220929,20220929,개원,        ,99991231,45,9,입시.검정 및 보습,보통교과,수학A,보통교과,"수학A:180000, 수학B:180000, 수학C:180000, 수학D:180000, 수학A:250000, 수학B:300000, 수학:380000",Y,N,부산광역시 강서구 명지국제2로 41,", 판매시설 224호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,,20231106
C10,부산광역시교육청,강서구,교습소,3000034284,미래엔영어교습소,20231211,20231211,개원,        ,        ,0,9,입시.검정 및 보습,보통교과,영어A,보통교과,"영어A:180000, 영어B:200000, 영어A:220000, 영어B:240000, 영어특강:100000, 영어특강:120000",Y, ,부산광역시 강서구 명지오션시티11로 51,"아인슈타인 타운 상가 323동 301-5호(명지동,영어도시 퀸덤1차)",46762,,20231217
C10,부산광역시교육청,강서구,교습소,3000020361,미소수창의영재강서명지수학교습소,20211013,20211013,개원,        ,99991231,40,8,입시.검정 및 보습,보통교과,수학(초등교과),보습,"수학(초등교과):100000, 수학(초등도형A):120000, 수학(초등도형B):130000, 수학(사고력):130000, 수학(심화사고력):160000",Y,N,부산광역시 강서구 명지국제2로 80,", 상가 2층 56호 (명지동, e편한세상 명지)",46726,051-9826-388,20231018
C10,부산광역시교육청,강서구,교습소,3000020557,바이레나미술교습소,20211214,20211214,개원,        ,99991231,18,9,예능(대),예능(중),고급 미술,미술,"고급 미술:120000, 고급 미술:180000",Y,N,부산광역시 강서구 명지국제2로 80,", 2층 64호 (명지동, e편한세상 명지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000018138,바이올린러브(VIOLINLOVE)음악교습소,20190228,20190228,개원,        ,99991231,18,5,예능(대),예능(중),바이올린(고급),음악,"바이올린(고급):160000, 바이올린(입시A):180000, 바이올린(입시B):100000",Y,N,부산광역시 강서구 명지오션시티12로 92,", 근린생활시설(C3) B123호 일부 (명지동, 엘크루 블루오션)",46764,,20231018
C10,부산광역시교육청,강서구,교습소,3000020012,박세인독서논술교습소,20210412,20210412,개원,        ,99991231,42,8,입시.검정 및 보습,보통교과,"기초논술A(초,중등,고등)",보습·논술,"기초논술A(초,중등,고등):120000, 기초논술B(초,중등,고등):160000, 중급논술A(초,중등,고등):130000, 중급논술B(초,중등,고등):200000, 입시논술A(초,중등,고등):150000, 입시논술B(초,중등,고등):180000, 입시논술C(초,중등,고등):250000, 입시논술D(초,중등,고등):330000",Y,N,부산광역시 강서구 명지국제2로 41,", 판매시설 210호 (명지동, 더샵 명지퍼스트월드 3단지)",46726,051-206-0602,20231203
C10,부산광역시교육청,강서구,교습소,3000014804,박시연의미러클영어교습소,20151102,20151102,개원,        ,99991231,45,9,국제화,외국어,,실용외국어(유아/초·중·고),"영어A:250000, 영어B:280000, 영어C:300000, 영어:300000, 실용영어고등:300000",Y,N,부산광역시 강서구 명지오션시티10로 17,", 상가동116동 109호 (명지동, 퀸덤1차아파트)",46762,null,20231226
C10,부산광역시교육청,강서구,교습소,3000034124,박영주영어교습소,20230922,20230922,개원,        ,        ,0,0,국제화,,,, ,Y, ,부산광역시 강서구 명지국제6로302번길 11-7,101호(명지동),46773,,20231018
C10,부산광역시교육청,강서구,교습소,3000020041,밥테일(Bobtail)영어교습소,20210421,20210421,개원,        ,99991231,48,9,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,부산광역시 강서구 명지국제8로 270,", 405호 (명지동)",46772,,20231018
C10,부산광역시교육청,강서구,교습소,3000021650,베를린플룻스튜디오플룻교습소,20230202,20230202,개원,        ,99991231,10,5,예능(대),예능(중),,음악, ,Y,N,부산광역시 강서구 명지국제2로 80,", 2-06호 (명지동, e편한세상 명지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000020327,브라운영어교습소,20210923,20210923,개원,        ,99991231,72,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지오션시티11로 51,", 아인슈타인타운상가 324동 326-5호 (명지동, 영어도시 퀸덤1차)",46762,,20231018
C10,부산광역시교육청,강서구,교습소,3000021503,브레인케이수학교습소,20221228,20221228,개원,        ,99991231,30,5,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지국제8로 234,", 정우빌딩2차 715호 (명지동)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000017651,비키김영어교습소,20180807,20180807,개원,        ,99991231,54,9,입시.검정 및 보습,보통교과,,보습, ,Y,N,부산광역시 강서구 명지오션시티6로 33,", C2동 B111호 (명지동, 엘크루 블루오션)",46764,051-293-0582,20231018
C10,부산광역시교육청,강서구,교습소,3000034377,삼공삼공영어명지퀸덤영어교습소,20240112,20240109,개원,        ,        ,0,0,국제화,외국어,파닉스,실용외국어(유아/초·중·고),"파닉스:205000, 실용영어A:210000, 실용영어B:230000, 실용영어C:240000",Y, ,부산광역시 강서구 명지오션시티11로 51,"3단지상가 316호(명지동,영어도시 퀸덤1차)",46762,,20240218
C10,부산광역시교육청,강서구,교습소,3000021075,삼성영어셀레나명지더샵2단지영어교습소,20220707,20220707,개원,        ,99991231,18,9,국제화,외국어,,실용외국어(유아/초·중·고), ,Y,N,부산광역시 강서구 명지국제7로 37,", 판매시설 235호 (명지동, 더샵 명지퍼스트월드 2단지)",46726,,20231018
C10,부산광역시교육청,강서구,교습소,3000034394,삼성영어셀레나명지호반1영어교습소,20240129,20240129,개원,        ,        ,0,0,국제화,,,, ,Y, ,부산광역시 강서구 명지국제5로 29,"호반상가 104호(명지동,명지 국제신도시 호반베르디움 1차)",46772,,20240218
C10,부산광역시교육청,강서구,교습소,3000017711,삼정미술교습소,20180914,20180914,개원,        ,99991231,180,9,예능(대),예능(중),미술(중급A),미술,"미술(중급A):70000, 미술(중급B):120000, 미술(초급A):140000, 미술(초급B):160000",Y,N,부산광역시 강서구 명지오션시티10로 114,", 114동 106호 (명지동, 명지오션시티삼정그린코아)",46763,null,20240218
